pid,label,first,middle,last,interviewed_by,interview_date,interview_city,interview_country,title,biography,order,layout,collection,thumbnail,full
n26,Philip Tommy,Philip,,Tommy,Susan Michaels-Strasser,13-Aug-19,Freetown,Sierra Leone,"State Enrolled Community Health Nurse, Connaught Teaching Hospital","Philip Tommy is a state enrolled community health nurse at Connaught Teaching Hospital. During the Ebola Epidemic, he worked as a nurse in the Hastings Ebola Treatment Center. Tommy was trained in infection prevention and control by the WHO and the Sierra Leone Ministry of Health.",25,frontlines_item,frontlines,img/derivatives/simple/n26/thumbnail.jpg,img/derivatives/simple/n26/full.jpg
n27,Adella F. Combey,Adella,F,Combey,Annette Mwansa Nkowane,13-Aug-19,Freetown,Sierra Leone,"State Enrolled Community Health Nurse, Lakka Government Hospital",Adella F. Combey was working at Lakka Government Hospital when the Ebola outbreak began. She received IPC training from the WHO and the Council of Churches in Sierra Leone. She received an award from the President of Sierra Leone for her service during the outbreak. ,26,frontlines_item,frontlines,img/derivatives/simple/n27/thumbnail.jpg,img/derivatives/simple/n27/full.jpg
n28,Christiana Conteh,Christiana,,Conteh,Annette Mwansa Nkowane,13-Aug-19,Freetown,Sierra Leone,"Acting Coordinator for Infection Prevention and Control, Ministry of Health","Christiana Conteh is the acting coordinator for the Ministry of Health's Infection Prevention and Control program. Conteh is a graduate of both the National School of Nursing and the National School of Midwifery, as well as a holder of a diploma in public health. During the Ebola epidemic, she trained nurses and healthcare workers across the country about infection prevention and control.",27,frontlines_item,frontlines,img/derivatives/simple/n28/thumbnail.jpg,img/derivatives/simple/n28/full.jpg
n29,Elizabeth Koroma,Elizabeth,,Koroma,Margaret Loma Phiri,13-Aug-19,Freetown,Sierra Leone,"Charge Nurse, Critical Care Unit, Connaught Teaching Hospital","Elizabeth Koroma was trained as a state registered nurse and then as a critical care nurse. During the Ebola epidemic, Koroma was working at Princess Christian Maternity Hospital, treating patients and training other nurses and healthcare workers. She currently works as a charge nurse in the Critical Care Unit at Connaught Teaching Hospital.",28,frontlines_item,frontlines,img/derivatives/simple/n29/thumbnail.jpg,img/derivatives/simple/n29/full.jpg
n30,Fatmata Samura,Fatmata,,Samura,Margaret Loma Phiri,12-Aug-19,Freetown,Sierra Leone,Nurse,"Fatmata Samura is a nurse from Sierra Leone. During the Ebola epidemic, Samura was the acting matron at Police Training School 1 Ebola Treatment Center in Hastings, Freetown. In addition to treating patients, Samura worked on community administrative programs during the epidemic.",29,frontlines_item,frontlines,img/derivatives/simple/n30/thumbnail.jpg,img/derivatives/simple/n30/full.jpg
n04,Elizabeth K. Lemor,Elizabeth,K,Lemor,Annette Mwansa Nkowane,12-Aug-19,Freetown,Sierra Leone,"Nurse Midwife; Directorate of Training, Human Resources Department, Sierra Leone Ministry of Health","Elizabeth Lemor has worked as a nurse midwife since 1990. During the Ebola epidemic, Lemor worked for the Sierra Leone Ministry of Health in the Human Resource Department of the Attendance Monitoring Bureau. Previously, Lemor had worked at Ola During Children's Hospital and Kenema Government Hospital.",3,frontlines_item,frontlines,img/derivatives/simple/n04/thumbnail.jpg,img/derivatives/simple/n04/full.jpg
n31,Fonti Kargbo,Fonti,,Kargbo,Jennifer Dohrn,12-Aug-19,Freetown,Sierra Leone,"Nurse, Ola During Children's Hospital, Freetown","Fonti Kargbo is a state-registered nurse finishing his BSc in nursing. During the Ebola epidemic, many members of Kargbo's immediate family contracted and were lost to Ebola. He credits his survival to his colleagues. He is now a nurse at Ola During Children's Hospital in Freetown and works to raise awareness and decrease stigma for Ebola survivors.",30,frontlines_item,frontlines,img/derivatives/simple/n31/thumbnail.jpg,img/derivatives/simple/n31/full.jpg
n32,Haurace Nyandemoh,Haurace,,Nyandemoh,Margaret Loma Phiri,12-Aug-19,Freetown,Sierra Leone,"MPA Candidate, Public Health","Haurace Nyandemoh is a state-registered nurse who holds a BSc in nursing. At the start of the Ebola epidemic, he was among the first group of volunteers trained by the WHO in Kenema to staff the holding center there. In addition to treating Ebola patients, he conducted PPE and treatment trainings as well as organizing the ward's staffing. He is currently pursuing his masters in public health.",31,frontlines_item,frontlines,img/derivatives/simple/n32/thumbnail.jpg,img/derivatives/simple/n32/full.jpg
n33,Hosinatu Mary Kanu,Hosinatu,Mary,Kanu,Jennifer Dohrn,14-Aug-19,Freetown,Sierra Leone,Chief Nursing Officer,"Hosinatu Mary Kanu served as Sierra Leone's Chief Nursing Officer during the Ebola epidemic. Kanu is a nurse, midwife, educator and public health specialist. After the Ebola outbreak came to Sierra Leone, she participated in trainings, disseminating information to district hospitals across the country.",32,frontlines_item,frontlines,img/derivatives/simple/n33/thumbnail.jpg,img/derivatives/simple/n33/full.jpg
n34,Diana T. Sarteh,Diana,T,Sarteh,Susan Michaels-Strasser,15-Aug-19,Monrovia,Liberia,"Deputy Chief Nursing and Midwifery Officer, Ministry of Health","Diana T. Sarteh is the Deputy Chief Nursing and Midwifery Officer at the Ministry of Health in Liberia. During the Ebola epidemic, she worked at John F. Kennedy Medical Center as a nurse and a nursing supervisor. After the treatment center at JFK closed down, she worked at the treatment center at the Ministry of Defense.",33,frontlines_item,frontlines,img/derivatives/simple/n34/thumbnail.jpg,img/derivatives/simple/n34/full.jpg
n35,Numu B. Charm,Numu,B,Charm,Margaret Loma Phiri,12-Aug-19,Freetown,Sierra Leone,Nurse Educator and Nursing Officer at a Government Hospital.,"Numu B. Charm is currently a nurse educator and nursing officer. Charm also assists nursing faculty at the College of Medicine and Allied Health Sciences. During the Ebola outbreak, Charm trained nurses at an Ebola Treatment Center in Moyamba as well as in Freetown and Kerry Town.",34,frontlines_item,frontlines,img/derivatives/simple/n35/thumbnail.jpg,img/derivatives/simple/n35/full.jpg
n36,Wilhelmina W.G. Flomo,Wilhelmina,WG,Flomo,Annette Mwansa Nkowane,15-Aug-19,Monrovia,Liberia,"President, Liberia Midwives Association","Wilhelmina WG Flomo is a registered midwife and has been the president of the Liberia Midwives Association since 2017. During the Ebola epidemic, she worked at Duport Road Health Center, continuing to provide the community local to the center with necessary healthcare.",35,frontlines_item,frontlines,img/derivatives/simple/n36/thumbnail.jpg,img/derivatives/simple/n36/full.jpg
n37,Senesie Margao,Senesie,,Margao,Annette Mwansa Nkowane,12-Aug-19,Freetown,Sierra Leone,Nurse,Senesie Margao was the President of the Sierra Leone Nurses Association at the time of the Ebola outbreak. He is a graduate of the National School of Nursing. He worked with the Directorate of Nursing and Midwifery Services to conduct trainings and recruit nurses to work during the outbreak.,36,frontlines_item,frontlines,img/derivatives/simple/n37/thumbnail.jpg,img/derivatives/simple/n37/full.jpg
n38,Constance T. Lumeh,Constance,T,Lumeh,Jennifer Dohrn,16-Aug-19,Monrovia,Liberia,Nurse and midwife,"Constance T. Lumeh is a nurse and midwife in the OB/GYN ward at Redemption Hospital. During the Ebola outbreak, Lumeh treated patients in an Ebola Treatment Unit at Redemption Hospital and conducted outreach in her community to encourage people to get tested. ",37,frontlines_item,frontlines,img/derivatives/simple/n38/thumbnail.jpg,img/derivatives/simple/n38/full.jpg
n39,Isatu Kamara,Isatu,,Kamara,Susan Michaels-Strasser,12-Aug-19,Freetown,Sierra Leone,Senior Matron of the Ministry of Health and Sanitation,"Isatu Kamara is the senior matron of Sierra Leone's Ministry of Health and Sanitation. During the Ebola epidemic, she coordinated the Ebola holding unit at Connaught Teaching Hospital. She is a state-registered nurse and has a masters in public administration.",38,frontlines_item,frontlines,img/derivatives/simple/n39/thumbnail.jpg,img/derivatives/simple/n39/full.jpg
n05,Fatmata Kargbo,Fatmata,,Kargbo,Annette Mwansa Nkowane,12-Aug-19,Freetown,Sierra Leone,"Matron, Ola During Children's Hospital","Fatmata Kargbo, BSc is a nurse midwife. Kargbo served as a staff nurse at Connaught Hospital before being promoted to acting matron. Kargbo currently works at Ola During Children's Hospital as a matron.",4,frontlines_item,frontlines,img/derivatives/simple/n05/thumbnail.jpg,img/derivatives/simple/n05/full.jpg
n06,Hannah Coker,Hannah,,Coker,Jennifer Dohrn,12-Aug-19,Freetown,Sierra Leone,"Former Registrar, Sierra Leone Nurses and Midwives Board","Hannah Coker is a nurse midwife. She served as the Registrar of the Sierra Leone Nurses and Midwives Board, registering and licensing nurses through the Ebola epidemic. Coker is now retired.",5,frontlines_item,frontlines,img/derivatives/simple/n06/thumbnail.jpg,img/derivatives/simple/n06/full.jpg
n07,Jestina T. Clarke,Jestina,T.,Clarke,Jennifer Dohrn,15-Aug-19,Monrovia,Liberia,"Midwife, Redemption Hospital","Jestina T. Clarke is a nurse midwife in Monrovia, Liberia. Clarke works at Redemption Hospital and served there during the Ebola epidemic.",6,frontlines_item,frontlines,img/derivatives/simple/n07/thumbnail.jpg,img/derivatives/simple/n07/full.jpg
n08,Dr. Joan Shepherd,Joan,,Shepherd,Susan Michaels-Strasser,12-Aug-19,Freetown,Sierra Leone,"Principal, Sierra Leone National School of Midwifery","Dr. Joan Shepherd is a nurse midwife in Freetown, Sierra Leone. Dr. Shepherd is the Principal of the National School of Midwifery and the President of the Sierra Leone Midwives Association. Dr. Shepherd worked closely with the Ministry of Health and WHO to develop protocols for childbirth during quarantines and lockdowns. She was instrumental in providing protective equipment and training to nurses and midwives during the Ebola epidemic.",7,frontlines_item,frontlines,img/derivatives/simple/n08/thumbnail.jpg,img/derivatives/simple/n08/full.jpg
n09,Josephine Finda Sellu,Josephine,Finda,Sellu,Jennifer Dohrn,13-Aug-19,Freetown,Sierra Leone,"Public Health Nurse, Sierra Leone Psychiatric Hospital","Josephine Finda Sellu is a public health nurse currently working at the Sierra Leone Psychiatric Hospital having graduated with a masters in public health. During the Ebola epidemic, Sellu was a deputy nurse matron at Kenema Government Hospital. In August 2014, her image was featured on the front page of the New York Times, illustrating the sacrifices of nurses and other healthcare workers. At that point, Sellu had lost fifteen of her colleagues to the outbreak.",8,frontlines_item,frontlines,img/derivatives/simple/n09/thumbnail.jpg,img/derivatives/simple/n09/full.jpg
n10,Margaret Loma Phiri,Margaret,Loma,Phiri,Jennifer Dohrn,14-Aug-19,Freetown,Malawi,"Former Regional Advisor for Nursing and Midwifery, WHO AFRO","Margaret Loma Phiri is a nurse midwife from Malawi. Phiri is currently a nursing advisor for Seed Global Health. Previously, Phiri worked as a regional advisor for nursing and midwifery at WHO AFRO. In 2015, Phiri went to Sierra Leone on behalf of the WHO to work on strengthening maternal and newborn health in that country during the Ebola epidemic. Phiri is a nurse educator with a masters in education and taught for many years at the Blantyre School of Nursing at the University of Malawi. As part of Columbia University's On the Frontlines project, Phiri conducted interviews with Ebola nurses in Sierra Leone and Liberia in August 2019.",9,frontlines_item,frontlines,img/derivatives/simple/n10/thumbnail.jpg,img/derivatives/simple/n10/full.jpg
